project,action,seine_id,date,work_area,survey,site_id,hakai_id,semsp_id,jsp_survey_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,date_processed,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,analysis_planned,dissection_status,lice_collection_protocol,lice_id_protocol,analyzing_lab,quality_level,comments,quality_log
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15667,NA,DE376,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15668,NA,DE376,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15669,NA,DE376,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15670,NA,DE376,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15671,NA,DE376,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15672,NA,DE376,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15673,NA,DE376,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15674,NA,DE376,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15675,NA,DE376,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15676,NA,DE376,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15677,NA,DE376,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15678,NA,DE376,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE376N2,2017-06-13,QUADRA,DI_W,D27,U15679,NA,DE376,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15720,NA,DE373,CU,NA,NA,NA,103,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15721,NA,DE373,CU,NA,NA,NA,110,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15722,NA,DE373,CU,NA,NA,NA,132,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15723,NA,DE373,CU,NA,NA,NA,120,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15724,NA,DE373,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15725,NA,DE373,CU,NA,NA,NA,103,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15726,NA,DE373,CU,NA,NA,NA,105,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15727,NA,DE373,CU,NA,NA,NA,104,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15728,NA,DE373,CU,NA,NA,NA,114,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15729,NA,DE373,CU,NA,NA,NA,106,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15730,NA,DE373,SO,NA,NA,NA,128,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE373N2,2017-06-26,QUADRA,DI_C,D09,U15731,NA,DE373,SO,NA,NA,NA,126,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIELD LOUSED ONLY,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,U344,2015-05-12-D01-SO-1,DE100,SO,NA,NA,NA,NA,NA,NA,2015-10-30,NONE,PRESENT,10.3,NA,95,NA,No scales taken.,NA,KI,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,U340,2015-05-12-D01-SO-2,DE100,SO,NA,NA,NA,NA,NA,NA,2015-10-30,NONE,PRESENT,11.7,NA,95,NA,NA,NA,CK,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,U352,2015-05-12-D01-SO-3,DE100,SO,NA,NA,NA,NA,NA,NA,2015-10-30,NONE,PRESENT,8.7,NA,86,NA,NA,NA,DS,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,U337,2015-05-12-D01-SO-4,DE100,SO,NA,NA,NA,NA,NA,NA,2015-10-30,NONE,PRESENT,10.6,NA,95,NA,One otolith,NA,CK,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,U339,2015-05-12-D01-SO-5,DE100,SO,NA,NA,NA,NA,NA,NA,2015-10-30,NONE,PRESENT,7.2,NA,85,NA,Brain dropped into bare well,NA,CK,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,U354,2015-05-12-D01-SO-6,DE100,SO,NA,NA,NA,NA,NA,NA,2015-10-30,NONE,PRESENT,10.9,NA,96,NA,NA,NA,DS,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,U345,2015-05-12-D01-SO-7,DE100,SO,NA,NA,NA,NA,NA,NA,2015-10-30,NONE,PRESENT,11.9,NA,92,NA,Fork length approc. caudel fin gone,NA,KI,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,U346,2015-05-12-D01-SO-8,DE100,SO,NA,NA,NA,NA,NA,NA,2015-10-30,NONE,PRESENT,11.4,NA,96,NA,NA,NA,KI,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,U353,2015-05-12-D01-SO-9,DE100,SO,NA,NA,NA,NA,NA,NA,2015-10-30,NONE,PRESENT,11.7,NA,92,NA,NA,NA,DS,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,U338,2015-05-12-D01-SO-10,DE100,SO,NA,NA,NA,NA,NA,NA,2015-10-30,NONE,PRESENT,14.6,NA,105,NA,NA,NA,CK,FULL WORK-UP 1,SEMSP,DISSECTED,LAB_FINE_2015,LPORTNER_FINE,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-11,2015-05-12-D01-SO-11,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-12,2015-05-12-D01-SO-12,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-13,2015-05-12-D01-SO-13,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-14,2015-05-12-D01-SO-14,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-15,2015-05-12-D01-SO-15,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-16,2015-05-12-D01-SO-16,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-17,2015-05-12-D01-SO-17,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-18,2015-05-12-D01-SO-18,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-19,2015-05-12-D01-SO-19,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-20,2015-05-12-D01-SO-20,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-21,2015-05-12-D01-SO-21,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-22,2015-05-12-D01-SO-22,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-23,2015-05-12-D01-SO-23,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-24,2015-05-12-D01-SO-24,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-25,2015-05-12-D01-SO-25,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-26,2015-05-12-D01-SO-26,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-27,2015-05-12-D01-SO-27,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-28,2015-05-12-D01-SO-28,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-29,2015-05-12-D01-SO-29,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-SO-30,2015-05-12-D01-SO-30,DE100,SO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-CU-1,2015-05-12-D01-CU-1,DE100,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-CU-2,2015-05-12-D01-CU-2,DE100,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-CU-3,2015-05-12-D01-CU-3,DE100,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-CU-4,2015-05-12-D01-CU-4,DE100,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-CU-5,2015-05-12-D01-CU-5,DE100,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-CU-6,2015-05-12-D01-CU-6,DE100,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-CU-7,2015-05-12-D01-CU-7,DE100,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-CU-8,2015-05-12-D01-CU-8,DE100,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-CU-9,2015-05-12-D01-CU-9,DE100,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
SEMSP,NA,DE100N3,2015-05-12,QUADRA,DI_E,D01,2015-05-12-D01-CU-10,2015-05-12-D01-CU-10,DE100,CU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NOT DISSECTED,NA,NA,HAKAI,Technician,NA,NA
